Avail_Sol,Avail_Wind_On,Avail_Wind_Off
0,0.305194398,0.739620511
0,0.320676066,0.706974043
0,0.332103382,0.677710831
0,0.337249489,0.661188983
0,0.345591333,0.651481661
0,0.351823324,0.638139948
0,0.357517254,0.640629091
0,0.362978568,0.634859857
4.50E-05,0.365942587,0.646269117
0.004824226,0.365007188,0.654690198
0.006010258,0.363868358,0.624541239
0.008438233,0.349613752,0.627492327
0.011581302,0.346738166,0.644838215
0.012645831,0.342658222,0.666448312
0.005684718,0.331537911,0.68008017
0.000280848,0.32515297,0.697490321
0,0.319455287,0.705313435
0,0.313410811,0.704324914
0,0.305278755,0.704548328
0,0.293523345,0.699978897
0,0.276128307,0.683639573
0,0.263467458,0.660039583
0,0.263282021,0.617194401
0,0.257562275,0.609286389
0,0.242900894,0.606625544
0,0.239648346,0.610224009
0,0.236186916,0.610336468
0,0.232210287,0.604715347
0,0.234721829,0.598850804
0,0.228705083,0.593301004
0,0.224536357,0.583161334
0,0.213734232,0.563377456
8.57E-05,0.203966239,0.547415028
0.013067507,0.196084425,0.536199726
0.032863093,0.203195646,0.542784524
0.05484351,0.195539321,0.516465166
0.058981044,0.196595669,0.488172077
0.039207192,0.194819743,0.477397167
0.01763637,0.198608823,0.489001399
0.000471852,0.193029355,0.497028975
0,0.191906975,0.500480324
0,0.189716905,0.48947762
0,0.189230548,0.492368753
0,0.184787498,0.482808702
0,0.175801451,0.477329662
0,0.1610927,0.483100677
0,0.143343954,0.495353926
0,0.130876723,0.516689668
0,0.119552933,0.531821236
0,0.113482726,0.53527013
0,0.122224593,0.542227193
0,0.132203527,0.556679285
0,0.141159836,0.574464184
0,0.15134208,0.583623968
0,0.167302768,0.594471408
0,0.176260231,0.598118117
4.28E-05,0.185045423,0.602359885
0.002309968,0.192504757,0.619754054
0.01134137,0.221951863,0.63586782
0.026932418,0.225569463,0.632006663
0.027094815,0.233343261,0.640977185
0.011852084,0.235973662,0.655357165
0.002076082,0.239805728,0.664933616
9.43E-05,0.250134165,0.668988484
0,0.258776438,0.666910945
0,0.263380994,0.640766048
0,0.260446044,0.599377978
0,0.25398376,0.557030685
0,0.246316114,0.523092786
0,0.243963954,0.503761175
0,0.26791677,0.505519254
0,0.271977174,0.500035172
0,0.273194169,0.509905696
0,0.276352037,0.523675949
0,0.276937043,0.535542426
0,0.27766503,0.535810451
0,0.271609369,0.526237546
0,0.263813841,0.515737203
0,0.260214267,0.512555786
0,0.257530099,0.522263751
4.91E-05,0.25855828,0.534253635
0.002126081,0.25596124,0.533314231
0.006186171,0.277859835,0.546221345
0.009147225,0.272431392,0.539910433
0.009157192,0.279834318,0.53940231
0.007265,0.290192426,0.536975837
0.003049024,0.302152347,0.529094643
0.000274355,0.307072817,0.521565594
0,0.313110108,0.525635474
0,0.323890445,0.536359222
0,0.327753843,0.543129394
0,0.344503619,0.549827594
0,0.352922785,0.550340199
0,0.36249134,0.548314048
0,0.395294085,0.530967824
0,0.39743344,0.51973101
0,0.395836923,0.502297812
0,0.388003014,0.477439229
0,0.380997248,0.449579294
0,0.380004046,0.434952412
0,0.382205291,0.43318317
0,0.387883862,0.425789512
0,0.389426406,0.409046681
0,0.388532824,0.39347775
4.33E-05,0.38906801,0.384399764
0.001821581,0.390808399,0.387816461
0.009038346,0.400099228,0.402445912
0.022304725,0.392043944,0.429831894
